iter	Passed	Remaining
1160	7087	53960
1161	7100	54006
1162	7114	54057
1163	7125	54093
1164	7133	54095
1165	7139	54093
1166	7148	54109
1167	7155	54107
1168	7161	54102
1169	7167	54094
1170	7174	54090
1171	7180	54088
1172	7186	54080
1173	7193	54082
1174	7200	54081
1175	7206	54073
1176	7212	54069
1177	7218	54060
1178	7224	54052
1179	7230	54046
1180	7237	54042
1181	7243	54040
1182	7249	54032
1183	7257	54040
1184	7263	54030
1185	7269	54023
1186	7275	54014
1187	7280	54005
1188	7286	53996
1189	7293	53995
1190	7299	53991
1191	7306	53990
1192	7314	53997
1193	7320	53992
1194	7326	53985
1195	7333	53979
1196	7339	53979
1197	7346	53975
1198	7354	53983
1199	7366	54020
1200	7376	54045
1201	7392	54108
1202	7401	54127
1203	7408	54124
1204	7415	54123
1205	7421	54117
1206	7427	54108
1207	7432	54098
1208	7436	54073
1209	7441	54059
1210	7447	54048
1211	7452	54038
1212	7458	54028
1213	7464	54020
1214	7468	54000
1215	7474	53989
1216	7479	53979
1217	7486	53980
1218	7498	54012
1219	7510	54053
1220	7521	54078
1221	7530	54092
1222	7538	54100
1223	7544	54096
1224	7550	54087
1225	7556	54078
1226	7562	54068
1227	7567	54059
1228	7573	54048
1229	7579	54043
1230	7585	54032
1231	7591	54030
1232	7600	54041
1233	7606	54037
1234	7613	54031
1235	7619	54026
1236	7625	54021
1237	7630	54008
1238	7636	53999
1239	7642	53988
1240	7647	53979
1241	7653	53970
1242	7659	53963
1243	7665	53953
1244	7670	53941
1245	7676	53931
1246	7682	53922
1247	7687	53914
1248	7693	53905
1249	7700	53902
1250	7706	53893
1251	7712	53889
1252	7718	53883
1253	7725	53880
1254	7731	53877
1255	7737	53869
1256	7743	53861
1257	7749	53851
1258	7755	53842
1259	7760	53831
1260	7766	53822
1261	7771	53812
1262	7777	53799
1263	7782	53791
1264	7788	53781
1265	7794	53773
1266	7800	53763
1267	7805	53753
1268	7811	53745
1269	7817	53735
1270	7823	53733
1271	7830	53727
1272	7835	53717
1273	7841	53706
1274	7847	53698
1275	7852	53689
1276	7858	53679
1277	7863	53666
1278	7868	53655
1279	7874	53643
1280	7880	53635
1281	7886	53630
1282	7892	53620
1283	7897	53612
1284	7903	53605
1285	7909	53594
1286	7915	53585
1287	7920	53576
1288	7927	53571
1289	7932	53561
1290	7938	53550
1291	7944	53542
1292	7949	53533
1293	7955	53524
1294	7961	53515
1295	7966	53504
1296	7971	53492
1297	7977	53483
1298	7982	53471
1299	7988	53460
1300	7994	53452
1301	8000	53445
1302	8005	53434
1303	8011	53426
1304	8017	53417
1305	8023	53411
1306	8029	53404
1307	8035	53395
1308	8040	53386
1309	8046	53377
1310	8052	53367
1311	8057	53358
1312	8063	53346
1313	8068	53338
1314	8075	53337
1315	8082	53332
1316	8088	53325
1317	8094	53320
1318	8100	53312
1319	8106	53305
1320	8111	53294
1321	8117	53282
1322	8123	53277
1323	8128	53266
1324	8135	53261
1325	8141	53255
1326	8147	53249
1327	8153	53240
1328	8158	53230
1329	8164	53220
1330	8170	53212
1331	8175	53202
1332	8181	53195
1333	8187	53185
1334	8191	53171
1335	8197	53162
1336	8206	53174
1337	8212	53166
1338	8218	53162
1339	8224	53152
1340	8230	53144
1341	8236	53136
1342	8241	53124
1343	8247	53116
1344	8253	53111
1345	8259	53100
1346	8264	53090
1347	8270	53085
1348	8276	53075
1349	8281	53065
1350	8288	53060
1351	8293	53048
1352	8299	53038
1353	8305	53032
1354	8310	53024
1355	8316	53015
1356	8322	53005
1357	8328	52997
1358	8333	52990
1359	8339	52981
1360	8345	52976
1361	8352	52974
1362	8358	52966
1363	8364	52956
